epoch,lr,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,0.0005,0.2787302225828171,0.3063823187827411,0.35502510521610564,0.5854640454053879,0.608708341696621,0.8997253254531994
2,0.0005,0.11421721130609512,0.15706739121200722,0.2460949186849523,0.5369129925966263,0.5918357553273703,0.8823787438388756
3,0.0005,0.0882729221135378,0.11395353153128095,0.2130221054143434,0.521543338894844,0.5565402200857622,0.8564965193059852
4,0.0005,0.07601783722639084,0.09390968606025168,0.19542288302950284,0.5253431499004364,0.5460332484371895,0.834907264379057
5,0.0005,0.06521775275468826,0.08218798397303657,0.1767750656301975,0.513525664806366,0.5305069956302115,0.8066678503665643
6,0.0005,0.06312244981527329,0.07421236795912738,0.16743833548207465,0.4887405037879944,0.5078148664824204,0.7736509599975896
7,0.0005,0.05601518824696541,0.07046368627567128,0.15677015126121732,0.4772828370332718,0.4920171749143474,0.7566324800061102
8,0.0005,0.05662148930132389,0.06905487089804224,0.15334728224944102,0.4818834960460663,0.4939181048719756,0.761774029855114
9,0.0005,0.05048323702067137,0.0671052683202132,0.1512794087371883,0.45320743322372437,0.4718637357927463,0.7390637021609745
10,0.0005,0.04953256621956825,0.06053603046114712,0.1384883195270676,0.4469000995159149,0.48005682173951536,0.7396070259868163
11,0.0005,0.04381504226475954,0.061165439568241685,0.13976499676483758,0.4479907155036926,0.4759938966779582,0.7358362497423432
12,0.0005,0.04354915302246809,0.060163449850577304,0.13868591025640203,0.4333864152431488,0.46284479100619796,0.7246267788703445
13,0.0005,0.03940340206027031,0.05344353085438741,0.12229989769415711,0.4359530657529831,0.4711355573283426,0.7379746207552073
14,0.0005,0.0387085696682334,0.053539672937922646,0.12468803131752419,0.43040965497493744,0.470623426563807,0.7369964153490293
15,0.0005,0.038454473949968815,0.05117767224006644,0.12095875386401374,0.4274936765432358,0.4772071797829286,0.7474001378942065
16,0.0005,0.03774297814816237,0.05151370749730322,0.11953797973424532,0.4307033270597458,0.46523487960623033,0.7271715315702945
17,0.00025,0.039684678241610524,0.04964032313122114,0.11658386452600877,0.4351966828107834,0.46721541931424126,0.7319131704631375
18,0.00025,0.03451691698282957,0.04701042951800834,0.11260064858808458,0.43130165338516235,0.4717402563356193,0.7354956133402484
19,0.00025,0.03467810750007629,0.04624678525432919,0.11334499527655689,0.4293614327907562,0.46630877754197714,0.7290225299915515
20,0.00025,0.030937434174120426,0.04252503496794184,0.10774363226394874,0.4391243904829025,0.4672981296558823,0.735369487900543
21,0.000125,0.03092098403722048,0.04029990795824651,0.10447428896611607,0.44341766834259033,0.4709380345864106,0.7334502228904715
22,0.000125,0.030599209107458593,0.04216348406549349,0.10836011763824595,0.43888165056705475,0.46810990703432304,0.7310535530867277
23,0.000125,0.029463021829724313,0.040120059376563655,0.10729034215876426,0.43732473254203796,0.46421869788154035,0.7269484358508091
24,0.000125,0.02952289246022701,0.039995514020972775,0.10630723958847046,0.4409046769142151,0.4653128209870012,0.7250550875706772
